Date,AUD,CAD,JPY
2021-08-02,1.36197,1.24667,109.706001
2021-08-03,1.358585,1.25011,109.268997
2021-08-04,1.351936,1.25333,108.990997
2021-08-05,1.354463,1.2545,109.528999
2021-08-06,1.350804,1.25013,109.751999
2021-08-09,1.3628,1.25709,110.259003
2021-08-10,1.36407,1.25738,110.306
2021-08-11,1.361693,1.2519,110.598
2021-08-12,1.3561,1.25068,110.374001
2021-08-13,1.36212,1.252,110.403
2021-08-16,1.35764,1.2516,109.624001
2021-08-17,1.3622,1.25696,109.296997
2021-08-18,1.378246,1.26265,109.537003
2021-08-19,1.382935,1.26631,109.842003
2021-08-20,1.399345,1.28313,109.767998
2021-08-23,1.4006,1.2826,109.839996
2021-08-24,1.38704,1.2651,109.678001
2021-08-25,1.379539,1.2596,109.730003
2021-08-26,1.374268,1.25887,109.975998
2021-08-27,1.381521,1.26849,110.047997
2021-08-30,1.36687,1.2611,109.864998
2021-08-31,1.37151,1.26089,109.944
2021-09-01,1.366512,1.26161,110.056
2021-09-02,1.35722,1.26217,110.096001
2021-09-03,1.351479,1.25518,109.945
2021-09-06,1.34318,1.25303,109.764
2021-09-07,1.34468,1.25343,109.82
2021-09-08,1.353803,1.26464,110.295998
2021-09-09,1.358,1.2694,110.218002
2021-09-10,1.3567,1.26626,109.780998
2021-09-13,1.3572,1.26795,109.915001
2021-09-14,1.357607,1.2648,109.994003
2021-09-15,1.366662,1.269,109.719002
2021-09-16,1.362175,1.26181,109.383003
2021-09-17,1.37146,1.26815,109.698997
2021-09-20,1.37665,1.2764,109.971001
2021-09-21,1.377467,1.28024,109.436996
2021-09-22,1.383509,1.28208,109.149002
2021-09-23,1.382361,1.27859,109.821999
2021-09-24,1.3699,1.2662,110.325996
2021-09-27,1.37625,1.26494,110.764
2021-09-28,1.373513,1.26262,110.963997
2021-09-29,1.3804,1.2677,111.528
2021-09-30,1.392758,1.27538,111.935997
2021-10-01,1.3829,1.2684,111.460999
2021-10-04,1.37453,1.2625,110.946999
2021-10-05,1.371799,1.25898,110.968002
2021-10-06,1.3716,1.25827,111.487
2021-10-07,1.37336,1.25862,111.413002
2021-10-08,1.366718,1.2547,111.662003
2021-10-11,1.37082,1.24841,112.269997
2021-10-12,1.36084,1.24804,113.388
2021-10-13,1.36331,1.24761,113.518997
2021-10-14,1.3539,1.24368,113.301003
2021-10-15,1.348836,1.23746,113.834
2021-10-18,1.34684,1.23737,114.323997
2021-10-19,1.348254,1.23722,114.285004
2021-10-20,1.3374,1.2354,114.542999
2021-10-21,1.330619,1.23244,114.389
2021-10-22,1.339818,1.23703,113.849998
2021-10-25,1.33885,1.23713,113.664001
2021-10-26,1.334793,1.2379,113.764999
2021-10-27,1.33103,1.23914,114.188004
2021-10-28,1.3332,1.23697,113.776001
2021-10-29,1.327739,1.23461,113.615997
2021-11-01,1.33009,1.23829,114.236
2021-11-02,1.329699,1.23739,114.094002
2021-11-03,1.344267,1.2408,113.961998
2021-11-04,1.338867,1.23778,114.07
2021-11-05,1.34965,1.2451,113.836998
2021-11-08,1.3521,1.24508,113.474998
2021-11-09,1.348654,1.24422,113.253998
2021-11-10,1.355712,1.2436,112.912003
2021-11-11,1.36349,1.24865,113.904999
2021-11-12,1.371366,1.25885,114.042999
2021-11-15,1.36379,1.25453,113.981003
2021-11-16,1.361489,1.2514,114.132004
2021-11-17,1.36956,1.25657,114.903999
2021-11-18,1.37578,1.26112,114.190002
2021-11-19,1.373815,1.26035,114.281998
2021-11-22,1.382801,1.26535,114.138
2021-11-23,1.3835,1.27013,114.790001
2021-11-24,1.38462,1.26759,115.140999
2021-11-25,1.388503,1.26617,115.407997
2021-11-26,1.39398,1.26637,115.069
2021-11-29,1.40001,1.27248,113.719002
2021-11-30,1.399423,1.2738,113.804001
2021-12-01,1.403509,1.27743,113.299004
2021-12-02,1.406945,1.28109,112.882004
2021-12-03,1.410875,1.28177,113.022003
2021-12-06,1.424928,1.2817,113.042
2021-12-07,1.4186,1.2762,113.458
2021-12-08,1.403982,1.26458,113.525002
2021-12-09,1.3947,1.26522,113.683998
2021-12-10,1.39936,1.27084,113.447998
2021-12-13,1.39546,1.27199,113.500999
2021-12-14,1.4019,1.28076,113.577003
2021-12-15,1.407261,1.28671,113.742996
2021-12-16,1.395381,1.28365,114.136002
2021-12-17,1.39361,1.27797,113.663002
2021-12-20,1.40509,1.28985,113.517998
2021-12-21,1.406569,1.2936,113.662003
2021-12-22,1.399032,1.2923,113.994003
2021-12-23,1.386194,1.28512,114.121002
2021-12-24,1.382514,1.28239,114.458
2021-12-27,1.38288,1.2814,114.333
2021-12-28,1.381788,1.2787,114.792
2021-12-29,1.382361,1.2813,114.773003
2021-12-30,1.37764,1.27826,114.947998
2021-12-31,1.379348,1.27444,115.063004
2022-01-03,1.37586,1.26588,115.141998
2022-01-04,1.389275,1.27513,115.328003
2022-01-05,1.381444,1.27044,116.174004
2022-01-06,1.384888,1.27601,116.127998
2022-01-07,1.396141,1.27302,115.864998
2022-01-10,1.39293,1.26469,115.617996
2022-01-11,1.392564,1.2665,115.278
2022-01-12,1.387001,1.25775,115.331001
2022-01-13,1.37321,1.25016,114.675003
2022-01-14,1.3732,1.25078,114.117996
2022-01-17,1.38571,1.25422,114.306
2022-01-18,1.386809,1.25157,114.570999
2022-01-19,1.391304,1.24975,114.554001
2022-01-20,1.385617,1.25109,114.347
2022-01-21,1.3856,1.25003,113.992996
